x,sin(x)
-1.0,-0.8414709848078965
-0.9797979797979798,-0.8303848237381118
-0.9595959595959596,-0.8189597761944479
-0.9393939393939394,-0.8072005048272394
-0.9191919191919192,-0.7951118086861494
-0.898989898989899,-0.7826986212616418
-0.8787878787878788,-0.7699660084715846
-0.8585858585858586,-0.7569191665938099
-0.8383838383838383,-0.7435634201454725
-0.8181818181818181,-0.7299042197100738
-0.797979797979798,-0.7159471397130358
-0.7777777777777778,-0.7016978761467353
-0.7575757575757576,-0.6871622442459252
-0.7373737373737373,-0.6723461761144925
-0.7171717171717171,-0.6572557183045205
-0.696969696969697,-0.6418970293486437
-0.6767676767676767,-0.6262763772467038
-0.6565656565656566,-0.6104001369077301
-0.6363636363636364,-0.5942747875482894
-0.6161616161616161,-0.5779069100482682
-0.5959595959595959,-0.5613031842651642
-0.5757575757575757,-0.5444703863079849
-0.5555555555555556,-0.5274153857718655
-0.5353535353535352,-0.5101451429345328
-0.5151515151515151,-0.4926667059157635
-0.4949494949494949,-0.47498720780099063
-0.4747474747474747,-0.45711386373023705
-0.4545454545454545,-0.43905396795356066
-0.43434343434343425,-0.4208148908542143
-0.41414141414141414,-0.40240407594073574
-0.3939393939393939,-0.38382903680919367
-0.3737373737373737,-0.36509735407683147
-0.3535353535353535,-0.3462166722883585
-0.33333333333333326,-0.32719469679615215
-0.31313131313131304,-0.30803919061564394
-0.2929292929292928,-0.28875797125717273
-0.2727272727272727,-0.2693589075355986
-0.2525252525252525,-0.249849916358978
-0.23232323232323226,-0.2302389594976129
-0.21212121212121204,-0.21053404033479037
-0.19191919191919182,-0.19074320060054
-0.1717171717171716,-0.17087451708974163
-0.1515151515151515,-0.15093609836592292
-0.13131313131313127,-0.13093608145209135
-0.11111111111111105,-0.11088262850995292
-0.09090909090909083,-0.09078392350887028
-0.07070707070707061,-0.07064816888592156
-0.050505050505050386,-0.050483582198422326
-0.030303030303030276,-0.030298392770277027
-0.010101010101010055,-0.010100838333527644
0.010101010101010166,0.010100838333527755
0.030303030303030498,0.030298392770277245
0.05050505050505061,0.05048358219842255
0.07070707070707072,0.07064816888592167
0.09090909090909105,0.0907839235088705
0.11111111111111116,0.11088262850995304
0.1313131313131315,0.13093608145209157
0.1515151515151516,0.150936098365923
0.1717171717171717,0.17087451708974175
0.19191919191919204,0.19074320060054023
0.21212121212121215,0.21053404033479048
0.2323232323232325,0.2302389594976131
0.2525252525252526,0.2498499163589781
0.27272727272727293,0.2693589075355988
0.29292929292929304,0.28875797125717295
0.31313131313131315,0.308039190615644
0.3333333333333335,0.3271946967961524
0.3535353535353536,0.3462166722883586
0.3737373737373739,0.3650973540768317
0.39393939393939403,0.3838290368091938
0.41414141414141437,0.40240407594073596
0.4343434343434345,0.4208148908542145
0.4545454545454546,0.4390539679535607
0.4747474747474749,0.45711386373023727
0.49494949494949503,0.47498720780099074
0.5151515151515154,0.49266670591576367
0.5353535353535355,0.510145142934533
0.5555555555555556,0.5274153857718655
0.5757575757575759,0.5444703863079852
0.595959595959596,0.5613031842651643
0.6161616161616164,0.5779069100482684
0.6363636363636365,0.5942747875482896
0.6565656565656568,0.6104001369077303
0.6767676767676769,0.6262763772467039
0.696969696969697,0.6418970293486437
0.7171717171717173,0.6572557183045206
0.7373737373737375,0.6723461761144927
0.7575757575757578,0.6871622442459254
0.7777777777777779,0.7016978761467354
0.7979797979797982,0.7159471397130359
0.8181818181818183,0.7299042197100739
0.8383838383838385,0.7435634201454726
0.8585858585858588,0.75691916659381
0.8787878787878789,0.7699660084715847
0.8989898989898992,0.7826986212616419
0.9191919191919193,0.7951118086861495
0.9393939393939394,0.8072005048272394
0.9595959595959598,0.818959776194448
0.9797979797979799,0.8303848237381118
1.0,0.8414709848078965
